State,Month,Year,Dayweek,Fatalities,Speed
NSW,May,2021,Friday,1,50
Qld,May,2021,Monday,1,50
Vic,May,2021,Wednesday,1,100
Qld,May,2021,Tuesday,1,100
Qld,May,2021,Friday,1,50
NSW,May,2021,Friday,1,100
WA,May,2021,Thursday,1,60
NSW,May,2021,Tuesday,1,100
Vic,May,2021,Thursday,1,100
Vic,May,2021,Tuesday,1,100
NSW,May,2021,Tuesday,1,100
Qld,May,2021,Thursday,1,100
SA,May,2021,Sunday,1,80
NT,May,2021,Saturday,1,50
NSW,May,2021,Thursday,1,50
NSW,May,2021,Saturday,1,80
WA,May,2021,Saturday,1,110
NT,May,2021,Friday,1,130
NSW,May,2021,Friday,1,50
NSW,May,2021,Wednesday,1,80
WA,May,2021,Friday,1,110
WA,May,2021,Sunday,1,110
NSW,May,2021,Saturday,2,110
Qld,May,2021,Saturday,1,60
Qld,May,2021,Friday,1,110
Vic,May,2021,Tuesday,1,80
NT,May,2021,Sunday,1,70
WA,May,2021,Sunday,1,110
Tas,May,2021,Saturday,1,60
Vic,May,2021,Saturday,1,60
WA,May,2021,Saturday,1,60
NT,May,2021,Saturday,1,80
NSW,May,2021,Sunday,1,50
Tas,May,2021,Saturday,1,50
SA,May,2021,Sunday,1,100
Qld,May,2021,Friday,1,100
Qld,May,2021,Saturday,1,100
Qld,May,2021,Sunday,1,50
WA,May,2021,Sunday,1,110
NSW,May,2021,Friday,1,60
Qld,May,2021,Friday,1,100
Qld,May,2021,Tuesday,1,60
Vic,May,2021,Thursday,1,80
Vic,May,2021,Thursday,1,40
Tas,May,2021,Thursday,1,50
Vic,May,2021,Wednesday,1,100
WA,May,2021,Thursday,1,110
WA,May,2021,Friday,1,110
Qld,May,2021,Monday,1,60
Qld,May,2021,Thursday,1,80
Qld,May,2021,Friday,1,110
WA,May,2021,Tuesday,1,80
NSW,May,2021,Wednesday,1,60
Vic,May,2021,Thursday,1,100
NSW,May,2021,Thursday,1,100
NSW,May,2021,Friday,1,110
NSW,May,2021,Wednesday,1,100
NSW,May,2021,Thursday,1,50
Vic,Apr,2021,Saturday,1,100
NSW,Apr,2021,Sunday,1,50
NSW,Apr,2021,Sunday,1,60
Qld,Apr,2021,Saturday,1,50
NSW,Apr,2021,Sunday,1,60
Qld,Apr,2021,Sunday,1,100
Tas,Apr,2021,Sunday,1,100
NSW,Apr,2021,Saturday,1,100
NSW,Apr,2021,Saturday,1,60
WA,Apr,2021,Saturday,1,80
SA,Apr,2021,Saturday,1,60
Vic,Apr,2021,Saturday,1,100
Vic,Apr,2021,Thursday,1,100
Tas,Apr,2021,Thursday,1,100
WA,Apr,2021,Monday,1,80
WA,Apr,2021,Tuesday,1,-9
WA,Apr,2021,Thursday,1,110
WA,Apr,2021,Monday,1,50
Vic,Apr,2021,Monday,1,100
NSW,Apr,2021,Friday,1,80
Tas,Apr,2021,Thursday,1,100
SA,Apr,2021,Thursday,1,100
Qld,Apr,2021,Monday,1,100
Qld,Apr,2021,Thursday,1,100
Vic,Apr,2021,Friday,1,50
Vic,Apr,2021,Friday,1,40
Tas,Apr,2021,Friday,1,100
WA,Apr,2021,Tuesday,1,110
Qld,Apr,2021,Monday,1,100
NSW,Apr,2021,Thursday,1,70
SA,Apr,2021,Friday,1,60
Qld,Apr,2021,Sunday,1,50
NT,Apr,2021,Friday,1,130
Vic,Apr,2021,Friday,1,60
NSW,Apr,2021,Sunday,1,60
SA,Apr,2021,Thursday,1,60
NSW,Apr,2021,Thursday,1,110
SA,Apr,2021,Tuesday,1,60
Vic,Apr,2021,Sunday,1,80
WA,Apr,2021,Friday,1,50
NSW,Apr,2021,Friday,1,60
Qld,Apr,2021,Sunday,2,80
Vic,Apr,2021,Saturday,1,60
Qld,Apr,2021,Sunday,1,70
WA,Apr,2021,Saturday,2,110
WA,Apr,2021,Sunday,2,110
Vic,Apr,2021,Saturday,1,100
Qld,Apr,2021,Saturday,1,70
NSW,Apr,2021,Sunday,1,100
Vic,Apr,2021,Saturday,1,100
NSW,Apr,2021,Saturday,1,50
Vic,Apr,2021,Tuesday,1,70
Qld,Apr,2021,Wednesday,1,60
NSW,Apr,2021,Wednesday,1,100
Qld,Apr,2021,Tuesday,1,80
Qld,Apr,2021,Friday,1,100
NSW,Apr,2021,Saturday,3,80
Qld,Apr,2021,Sunday,1,70
SA,Apr,2021,Saturday,1,80
WA,Apr,2021,Saturday,1,70
NSW,Apr,2021,Thursday,3,100
Qld,Apr,2021,Friday,1,100
Qld,Apr,2021,Wednesday,1,100
SA,Apr,2021,Thursday,1,110
ACT,Apr,2021,Tuesday,1,80
SA,Apr,2021,Monday,1,80
NSW,Apr,2021,Thursday,1,110
NSW,Apr,2021,Thursday,1,110
NSW,Apr,2021,Thursday,1,50
Tas,Apr,2021,Thursday,1,80
Qld,Apr,2021,Tuesday,1,80
NT,Apr,2021,Wednesday,1,110
NSW,Apr,2021,Wednesday,1,110
Vic,Apr,2021,Thursday,1,100
Vic,Apr,2021,Thursday,1,100
WA,Mar,2021,Thursday,1,100
SA,Mar,2021,Wednesday,1,50
WA,Mar,2021,Sunday,1,100
